,"crude prevalence rate | per 1000 | Model-based estimate for crude prevalence of mental health not good for >=14 days among adults aged >=18 years, 2020",population | individuals | Total Population of Census 2010,Location
3983,18.9,898,"Tiplersville, Mississippi"
3984,18.9,970,"Yawkey, West Virginia"
3985,18.9,1987,"Drasco, Arkansas"
3986,18.9,1642,"Gretna, Florida"
3987,18.9,27153,"Tifton, Georgia"
3988,18.9,2538,"Whiteman Air Force Base, Missouri"
3989,18.9,16792,"Bloomfield, New Mexico"
3990,18.9,1195,"Pilgrim, Kentucky"
3991,18.9,4874,"Afton, Tennessee"
3992,18.9,14979,"Sweetwater, Tennessee"
3993,18.9,19730,"Lehigh Acres, Florida"
3994,18.9,277,"Husser, Louisiana"
3995,18.9,616,"Little Rock Air Force Base, Arkansas"
3996,18.9,1417,"Center Ridge, Arkansas"
3997,18.9,6326,"Pembroke, Georgia"
3998,18.9,5135,"Danville, Alabama"
3999,18.8,1262,"Hackberry, Louisiana"
4000,18.8,4236,"Brownsville, Kentucky"
4001,18.8,209,"Ibapah, Utah"
4002,18.8,94,"Cameron, Ohio"
4003,18.8,49824,"Pompano Beach, Florida"
4004,18.8,154,"Cushman, Arkansas"
4005,18.8,8063,"Beaver, West Virginia"
4006,18.8,3729,"Tornillo, Texas"
4007,18.8,3111,"Merryville, Louisiana"
4008,18.8,8145,"Tompkinsville, Kentucky"
4009,18.8,23833,"Chowchilla, California"
4010,18.8,4092,"Loretto, Tennessee"
4011,18.8,14870,"Clanton, Alabama"
4012,18.8,2988,"Lexington, Georgia"
4013,18.8,6309,"Mineral Wells, West Virginia"
4014,18.8,3626,"Whitesburg, Tennessee"
4015,18.8,3333,"Gloster, Mississippi"
4016,18.8,3223,"Los Angeles, California"
4017,18.8,8828,"Perkinston, Mississippi"
4018,18.8,9228,"Fort White, Florida"
4019,18.8,1370,"Fountain Run, Kentucky"
4020,18.8,3405,"Grawn, Michigan"
4021,18.8,27592,"Muncie, Indiana"
4022,18.8,1379,"Keavy, Kentucky"
4023,18.8,2771,"Sparta, Kentucky"
4024,18.8,176,"Spelter, West Virginia"
4025,18.8,5663,"Okolona, Mississippi"
4026,18.8,1123,"Walhonding, Ohio"
4027,18.8,1129,"Georgetown, Florida"
4028,18.8,1579,"Gordon, Alabama"
4029,18.8,4941,"Farrell, Pennsylvania"
4030,18.8,152,"Maysville, Arkansas"
4031,18.8,14781,"Adairsville, Georgia"
4032,18.8,389,"West Augusta, Virginia"
4033,18.8,32154,"Pompano Beach, Florida"
4034,18.8,7976,"Huntington, Texas"
4035,18.8,16807,"Temple, Georgia"
4036,18.8,13734,"Wynne, Arkansas"
4037,18.8,21026,"Bloomington, Indiana"
4038,18.8,11097,"Struthers, Ohio"
4039,18.8,646,"Sugar Grove, West Virginia"
4040,18.8,7656,"Etowah, Tennessee"
4041,18.8,5146,"Marlette, Michigan"
4042,18.8,12923,"Alma, Michigan"
4043,18.8,36111,"Cincinnati, Ohio"
4044,18.8,326,"Holland, Kentucky"
4045,18.8,103892,"Los Angeles, California"
4046,18.8,7845,"Dover, Arkansas"
4047,18.8,3553,"Kotzebue, Alaska"
4048,18.8,7388,"Falkville, Alabama"
4049,18.8,952,"Faunsdale, Alabama"
4050,18.8,3795,"Gramercy, Louisiana"
4051,18.8,3679,"Byrdstown, Tennessee"
4052,18.8,9072,"Daleville, Alabama"
4053,18.8,1219,"Neelyville, Missouri"
4054,18.8,827,"Wells, Texas"
4055,18.8,713,"Traver, California"
4056,18.8,5050,"Frisco City, Alabama"
4057,18.8,1020,"Mershon, Georgia"
4058,18.8,3255,"Windsor, South Carolina"
4059,18.8,1821,"Maynard, Arkansas"
4060,18.8,4637,"Fort Rucker, Alabama"
4061,18.8,3783,"New Madrid, Missouri"
4062,18.8,23354,"Malvern, Arkansas"
4063,18.8,220,"Solo, Missouri"
4064,18.8,8932,"Gary, Indiana"
4065,18.8,2446,"Glen, Mississippi"
4066,18.8,106,"West Millgrove, Ohio"
4067,18.8,47388,"Roseville, Michigan"
4068,18.8,257,"Whiteside, Tennessee"
4069,18.8,30439,"Cleveland, Tennessee"
4070,18.8,8535,"Lula, Georgia"
4071,18.8,965,"Knoxville, Georgia"
4072,18.8,5138,"Standish, Michigan"
4073,18.8,2566,"Brantley, Alabama"
4074,18.8,6221,"Silver Creek, Georgia"
4075,18.8,11258,"Monmouth, Oregon"
4076,18.8,229,"London, Kentucky"
4077,18.8,1821,"Maynard, Arkansas"
4078,18.8,167,"Hunter, Arkansas"
4079,18.8,23833,"Chowchilla, California"
4080,18.8,32725,"Adelanto, California"
4081,18.8,17290,"Marshall, Texas"
4082,18.8,8201,"Enfield, North Carolina"
4083,18.8,25299,"Albany, Georgia"
4084,18.8,15387,"Monticello, Arkansas"
4085,18.8,10177,"Fayette, Alabama"
4086,18.8,33545,"Brooklyn, Massachusetts"
4087,18.8,2690,"Beaumont, Mississippi"
4088,18.8,34704,"Indiana, Pennsylvania"
4089,18.8,826,"Cabins, West Virginia"
4090,18.8,3843,"Brodhead, Kentucky"
4091,18.8,17857,"Harriman, Tennessee"
4092,18.8,1037,"Lavinia, Tennessee"
4093,18.8,786,"Jefferson, Arkansas"
4094,18.8,18246,"Canton, Ohio"
4095,18.8,1064,"Goldonna, Louisiana"
4096,18.8,13493,"Barnesville, Georgia"
4097,18.8,42201,"Columbus, Ohio"
4098,18.8,393,"Lottie, Louisiana"
4099,18.8,4737,"Houston, Missouri"
4100,18.8,43904,"Indianapolis, Indiana"
4101,18.8,13756,"Cochran, Georgia"
4102,18.8,22095,"Kalamazoo, Michigan"
4103,18.8,3294,"Pitcairn, Pennsylvania"
4104,18.8,19663,"Knoxville, Tennessee"
4105,18.8,1875,"Sherwood, Michigan"
4106,18.8,40920,"Los Angeles, California"
4107,18.8,23286,"Longview, Texas"
4108,18.8,4340,"Guin, Alabama"
4109,18.8,18334,"London, Kentucky"
4110,18.8,53518,"Salem, Oregon"
4111,18.8,35094,"Indianapolis, Indiana"
4112,18.8,19819,"Houston, Texas"
4113,18.8,13349,"Bremen, Georgia"
4114,18.8,2666,"Waco, Georgia"
4115,18.8,7155,"Walnut Ridge, Arkansas"
4116,18.8,882,"Norwood, Georgia"
4117,18.8,597,"Westfir, Oregon"
4118,18.8,2311,"Huntland, Tennessee"
4119,18.8,3826,"Hardy, Arkansas"
4120,18.8,24268,"Selma, Alabama"
4121,18.8,9800,"Trenton, Georgia"
4122,18.8,3202,"Doerun, Georgia"
4123,18.8,19668,"Sault Sainte Marie, Michigan"
4124,18.8,10093,"Mc Kenzie, Tennessee"
4125,18.8,1504,"Panama, Oklahoma"
4126,18.8,3099,"Richgrove, California"
4127,18.8,2877,"Carnegie, Oklahoma"
4128,18.8,40920,"Los Angeles, California"
4129,18.8,29352,"Phoenix, Arizona"
4130,18.8,20696,"Fort Worth, Texas"
4131,18.8,176,"Dailey, West Virginia"
4132,18.8,25666,"Augusta, Georgia"
4133,18.8,19527,"Evansville, Indiana"
4134,18.8,7663,"Newbern, Tennessee"
4135,18.8,4371,"Alamo, Georgia"
4136,18.8,57,"Pierce, Texas"
4137,18.8,7660,"Orono, Maine"
4138,18.8,7950,"Jonesville, Virginia"
4139,18.8,17657,"Columbia, Mississippi"
4140,18.8,1772,"Romance, Arkansas"
4141,18.8,20114,"Willimantic, Connecticut"
4142,18.8,42083,"Laredo, Texas"
4143,18.8,2011,"Dayton, Ohio"
4144,18.8,7102,"Chadbourn, North Carolina"
4145,18.8,2859,"Oklahoma City, Oklahoma"
4146,18.8,4077,"Iota, Louisiana"
4147,18.8,1760,"Clayton, Oklahoma"
4148,18.8,408,"Mill Spring, Missouri"
4149,18.8,401,"Green Bank, West Virginia"
4150,18.8,3036,"Babson Park, Florida"
4151,18.8,931,"Irondale, Ohio"
4152,18.8,10736,"Stuttgart, Arkansas"
4153,18.8,700,"Sidney, Arkansas"
4154,18.8,309,"Camp, Arkansas"
4155,18.8,1045,"Oak Ridge, Louisiana"
4156,18.8,8408,"Houston, Mississippi"
4157,18.8,91,"Lenox, Tennessee"
4158,18.8,1043,"Shady Dale, Georgia"
4159,18.8,49410,"San Bernardino, California"
4160,18.8,3888,"Morenci, Michigan"
4161,18.8,3268,"Bigelow, Arkansas"
4162,18.8,162,"Saint Elmo, Alabama"
4163,18.8,3131,"Parsons, West Virginia"
4164,18.8,2288,"Haworth, Oklahoma"
4165,18.8,2919,"Mansfield, Arkansas"
4166,18.8,11612,"Stanford, Kentucky"
4167,18.8,288,"Estillfork, Alabama"
4168,18.8,477,"Crump, Tennessee"
4169,18.8,103892,"Los Angeles, California"
4170,18.8,482,"Oakfield, Georgia"
4171,18.8,1067,"Glenmont, Ohio"
4172,18.8,8920,"Potosi, Missouri"
4173,18.8,1118,"Wadsworth, Nevada"
4174,18.8,46272,"Dekalb, Illinois"
4175,18.8,1087,"Bucyrus, Missouri"
4176,18.8,4179,"Minford, Ohio"
4177,18.8,1621,"French Settlement, Louisiana"
4178,18.8,14882,"Mena, Arkansas"
4179,18.8,33091,"Philadelphia, Pennsylvania"
4180,18.8,25223,"Providence, Rhode Island"
4181,18.8,4947,"Portageville, Missouri"
4182,18.8,239,"Cecil, Georgia"
4183,18.8,13167,"Saint Louis, Montana"
4184,18.8,22210,"Phenix City, Alabama"
4185,18.8,18733,"Mobile, Alabama"
4186,18.8,44074,"Logan, Utah"
4187,18.8,1391,"Hartford, Arkansas"
4188,18.7,27958,"Madison, Wisconsin"
4189,18.7,4315,"Ragley, Louisiana"
4190,18.7,5856,"Sneads, Florida"
4191,18.7,581,"Genesee, Michigan"
4192,18.7,560,"Alpine, Tennessee"
4193,18.7,1833,"Saline, Louisiana"
4194,18.7,546,"Hosston, Louisiana"
4195,18.7,2814,"Wilmerding, Pennsylvania"
4196,18.7,1915,"Milan, Georgia"
4197,18.7,236,"Alba, Michigan"
4198,18.7,22305,"Washington Court House, Ohio"
4199,18.7,1734,"Montrose, West Virginia"
4200,18.7,3158,"Porum, Oklahoma"
4201,18.7,1305,"Grosse Tete, Louisiana"
4202,18.7,20654,"Saint Louis, Missouri"
4203,18.7,546,"Hosston, Louisiana"
4204,18.7,3089,"Mooringsport, Louisiana"
4205,18.7,55643,"Zanesville, Ohio"
4206,18.7,14074,"Greenville, Alabama"
4207,18.7,1303,"Hoolehua, Hawaii"
4208,18.7,34560,"Lansing, Michigan"
4209,18.7,1632,"Hopedale, Ohio"
4210,18.7,1643,"Tampa, Florida"
4211,18.7,12749,"Eight Mile, Alabama"
4212,18.7,802,"Fruitdale, Alabama"
4213,18.7,3186,"Gainesville, Missouri"
4214,18.7,6822,"Wilburton, Oklahoma"
4215,18.7,32353,"Eastpointe, Michigan"
4216,18.7,1460,"Metlakatla, Alaska"
4217,18.7,139,"Mannsville, Kentucky"
4218,18.7,422,"Lehigh, Oklahoma"
4219,18.7,1269,"Barrackville, West Virginia"
4220,18.7,345,"Dukedom, Tennessee"
4221,18.7,40038,"Kingsport, Tennessee"
4222,18.7,663,"Dodson, Montana"
4223,18.7,4047,"Mansfield, Missouri"
4224,18.7,17476,"Muskogee, Oklahoma"
4225,18.7,16652,"Conneaut, Ohio"
4226,18.7,6502,"Waynesboro, Tennessee"
4227,18.7,411,"Sugartown, Louisiana"
4228,18.7,673,"Ravia, Oklahoma"
4229,18.7,2995,"Panama City, Florida"
4230,18.7,128,"Mexico, Pennsylvania"
4231,18.7,14071,"Euclid, Ohio"
4232,18.7,2757,"Lafitte, Louisiana"
4233,18.7,8567,"Chuckey, Tennessee"
4234,18.7,9832,"Vassar, Michigan"
4235,18.7,4761,"Leesburg, Ohio"
4236,18.7,278,"Cannon AFB, New Mexico"
4237,18.7,39665,"Bronx, New York"
4238,18.7,253,"Glencoe, Arkansas"
4239,18.7,1438,"Willow Wood, Ohio"
4240,18.7,3806,"Irrigon, Oregon"
4241,18.7,2417,"Gilbertown, Alabama"
4242,18.7,11498,"Morrilton, Arkansas"
4243,18.7,4333,"Masontown, Pennsylvania"
4244,18.7,1123,"Coosada, Alabama"
4245,18.7,1560,"Cedarbluff, Mississippi"
4246,18.7,6801,"Mancelona, Michigan"
4247,18.7,23304,"Las Vegas, Nevada"
4248,18.7,78,"Decatur, Ohio"
4249,18.7,2078,"Sycamore, Georgia"
4250,18.7,6314,"Paris, Arkansas"
4251,18.7,2226,"Shorter, Alabama"
4252,18.7,3178,"Pottsville, Arkansas"
4253,18.7,2947,"Franklin, West Virginia"
4254,18.7,12633,"Berkeley Springs, West Virginia"
4255,18.7,32733,"Baltimore, Massachusetts"
4256,18.7,5060,"Chouteau, Oklahoma"
4257,18.7,100,"Nelsonia, Virginia"
4258,18.7,9912,"Idabel, Oklahoma"
4259,18.7,1943,"Alger, Ohio"
4260,18.7,13152,"Seminole, Oklahoma"
4261,18.7,1754,"Brooklyn, Mississippi"
4262,18.7,38425,"Panama City, Florida"
4263,18.7,3220,"Decaturville, Tennessee"
4264,18.7,14014,"Keystone Heights, Florida"
4265,18.7,905,"Adah, Pennsylvania"
4266,18.7,19061,"Coshocton, Ohio"
4267,18.7,4449,"Belle Rose, Louisiana"
4268,18.7,211,"Vendor, Arkansas"
4269,18.7,3674,"Perryville, Arkansas"
4270,18.7,3259,"Goodman, Missouri"
4271,18.7,25058,"Spartanburg, South Carolina"
4272,18.7,43850,"Manhattan, Kansas"
4273,18.7,4268,"Hobart, Oklahoma"
4274,18.7,12600,"Sylvania, Georgia"
4275,18.7,1921,"Waterloo, Alabama"
4276,18.7,10602,"Morgantown, Kentucky"
4277,18.7,532,"Saint Charles, Kentucky"
4278,18.7,3731,"Independence, Missouri"
4279,18.7,17035,"Lansing, Michigan"
4280,18.7,441,"Thornfield, Missouri"
4281,18.7,25139,"Waterbury, Connecticut"
4282,18.7,5408,"Ferrum, Virginia"
4283,18.7,657,"Ida, Louisiana"
4284,18.7,180,"Pompeii, Michigan"
4285,18.7,17637,"Euclid, Ohio"
4286,18.7,230,"Combs, Kentucky"
4287,18.7,142,"Boynton, Pennsylvania"
4288,18.7,907,"Yuma, Tennessee"
4289,18.7,345,"De Peyster, New York"
4290,18.7,1153,"Pall Mall, Tennessee"
4291,18.7,22759,"Detroit, Michigan"
4292,18.7,1685,"Gibson, North Carolina"
4293,18.7,711,"Hickory Ridge, Arkansas"
4294,18.7,2156,"Conewango Valley, New York"
4295,18.7,124,"Pickens, West Virginia"
4296,18.7,3254,"Edmore, Michigan"
4297,18.7,1800,"Welling, Oklahoma"
4298,18.7,8326,"Holdenville, Oklahoma"
4299,18.7,342,"Saint Paul, Arkansas"
4300,18.7,19616,"Morgantown, West Virginia"
4301,18.7,105,"Viola, Tennessee"
4302,18.7,2852,"Eva, Alabama"
4303,18.7,6580,"Williston, South Carolina"
4304,18.7,64263,"Elyria, Ohio"
4305,18.7,6262,"Norton, Virginia"
4306,18.7,237,"Williamsport, Kentucky"
4307,18.7,2210,"Fredonia, Arizona"
4308,18.7,31376,"Philadelphia, Pennsylvania"
4309,18.7,2152,"Salt Rock, West Virginia"
4310,18.7,63836,"San Marcos, Texas"
4311,18.7,1309,"Florence, Indiana"
4312,18.7,130,"Alpha, Kentucky"
4313,18.7,1733,"West, Mississippi"
4314,18.7,12661,"Barboursville, West Virginia"
4315,18.7,12097,"Saint Pauls, North Carolina"
4316,18.7,800,"Sardis, Alabama"
4317,18.7,2138,"Calhoun, Tennessee"
4318,18.7,33263,"Jackson, Mississippi"
4319,18.7,1409,"Atlantic, Pennsylvania"
4320,18.7,1107,"Rebecca, Georgia"
4321,18.7,776,"Hallwood, Virginia"
4322,18.7,3491,"Haysi, Virginia"
4323,18.7,9450,"Monticello, Georgia"
4324,18.7,1831,"Naylor, Georgia"
4325,18.7,411,"Greenway, Arkansas"
4326,18.7,23592,"Paris, Texas"
4327,18.7,5084,"Bedford, Kentucky"
4328,18.7,258,"Magnetic Springs, Ohio"
4329,18.7,4836,"Cedar Bluff, Alabama"
4330,18.7,17584,"Plaquemine, Louisiana"
4331,18.7,755,"Branch, Arkansas"
4332,18.7,21340,"Columbus, Ohio"
4333,18.7,33121,"Bradenton, Florida"
4334,18.7,1083,"Jerusalem, Ohio"
4335,18.7,94,"Mc Dougal, Arkansas"
4336,18.7,14844,"Franklin, Louisiana"
4337,18.7,7420,"Vienna, Georgia"
4338,18.7,7135,"Charleston, Missouri"
4339,18.7,2812,"Seaman, Ohio"
4340,18.7,856,"Graham, Kentucky"
4341,18.7,1083,"Dunbar, Wisconsin"
4342,18.7,374,"Frankville, Alabama"
4343,18.7,131,"Gattman, Mississippi"
4344,18.7,12864,"Glennville, Georgia"
4345,18.7,27996,"Shippensburg, Pennsylvania"
4346,18.7,3191,"Burnside, Kentucky"
4347,18.7,8133,"Chiefland, Florida"
4348,18.7,139,"Elgin, Tennessee"
4349,18.7,1199,"Pineview, Georgia"
4350,18.7,494,"Hanna, Oklahoma"
4351,18.7,85,"Mc Williams, Alabama"
4352,18.7,6042,"Cutler, California"
4353,18.7,12757,"Houston, Texas"
4354,18.7,10058,"Opp, Alabama"
4355,18.7,743,"Knifley, Kentucky"
4356,18.7,7933,"Blountsville, Alabama"
4357,18.7,531,"Beverly, Washington"
4358,18.7,4374,"El Paso, Texas"
4359,18.7,998,"San Ysidro, New Mexico"
4360,18.7,130,"Nadeau, Michigan"
4361,18.7,1376,"Brant, Michigan"
4362,18.7,6740,"Scott City, Missouri"
4363,18.7,3277,"Rome, Ohio"
4364,18.7,8691,"Panama City, Florida"
4365,18.7,22380,"Lake City, Florida"
4366,18.7,6054,"Rison, Arkansas"
4367,18.7,1638,"Perry, Maine"
4368,18.7,1905,"Shady Point, Oklahoma"
4369,18.7,969,"Cragford, Alabama"
4370,18.7,3729,"Ochlocknee, Georgia"
4371,18.7,11505,"Plant City, Florida"
4372,18.7,1503,"Horse Branch, Kentucky"
4373,18.7,956,"Cottage Grove, Tennessee"
4374,18.7,86,"Guild, New Hampshire"
4375,18.7,43037,"Thibodaux, Louisiana"
4376,18.7,6916,"Paintsville, Kentucky"
4377,18.7,286,"Battiest, Oklahoma"
4378,18.7,6740,"Scott City, Missouri"
4379,18.7,1324,"Surrency, Georgia"
4380,18.7,19872,"Sturgis, Michigan"
4381,18.7,267,"Fulton, Ohio"
4382,18.7,1818,"Hurlburt Field, Florida"
4383,18.7,2923,"Mammoth Spring, Arkansas"
4384,18.6,2974,"Magnolia, Kentucky"
4385,18.6,1632,"Henderson, Maryland"
4386,18.6,5320,"McConnelsville, Ohio"
4387,18.6,861,"Mechanicstown, Ohio"
4388,18.6,3648,"Verbena, Alabama"
4389,18.6,1677,"Rosebush, Michigan"
4390,18.6,546,"Oil Trough, Arkansas"
4391,18.6,5060,"Zolfo Springs, Florida"
4392,18.6,12354,"Sylvester, Georgia"
4393,18.6,14324,"Waterbury, Connecticut"
4394,18.6,202,"Alledonia, Ohio"
4395,18.6,11086,"Fort Wayne, Indiana"
4396,18.6,1366,"Gadsden, Tennessee"
4397,18.6,1526,"Salesville, Ohio"
4398,18.6,443,"Bloomery, West Virginia"
4399,18.6,674,"Wilkesville, Ohio"
4400,18.6,42108,"Starkville, Mississippi"
4401,18.6,9036,"Georgetown, Ohio"
4402,18.6,1762,"Riceboro, Georgia"
4403,18.6,921,"South Bloomingville, Ohio"
4404,18.6,4328,"Baldwin, Michigan"
4405,18.6,2526,"Wetumka, Oklahoma"
4406,18.6,4413,"Marion, Michigan"
4407,18.6,13997,"Columbus, Mississippi"
4408,18.6,627,"Needham, Alabama"
4409,18.6,51,"Lenox, Alabama"
4410,18.6,4759,"Laurel Hill, North Carolina"
4411,18.6,22078,"Cartersville, Georgia"
4412,18.6,681,"Union Church, Mississippi"
4413,18.6,476,"Buena Vista, Tennessee"
4414,18.6,2138,"Climax, Georgia"
4415,18.6,22253,"Cincinnati, Ohio"
4416,18.6,287,"Virginia Beach, Virginia"
4417,18.6,30430,"Killeen, Texas"
4418,18.6,20274,"Wetumpka, Alabama"
4419,18.6,283,"Millsboro, Pennsylvania"
4420,18.6,1264,"Bascom, Florida"
4421,18.6,167,"Weston, Michigan"
4422,18.6,1652,"Delight, Arkansas"
4423,18.6,216,"Kunkle, Ohio"
4424,18.6,221,"Knoxville, Alabama"
4425,18.6,2318,"Dexter, Georgia"
4426,18.6,7080,"Owenton, Kentucky"
4427,18.6,34932,"Gastonia, North Carolina"
4428,18.6,2248,"Ambrose, Georgia"
4429,18.6,1652,"Delight, Arkansas"
4430,18.6,13787,"Alma, Arkansas"
4431,18.6,8474,"Danielsville, Georgia"
4432,18.6,36182,"Johnson City, Tennessee"
4433,18.6,3901,"Hollandale, Mississippi"
4434,18.6,79492,"Bronx, New York"
4435,18.6,20538,"Rockford, Illinois"
4436,18.6,3281,"Thorsby, Alabama"
4437,18.6,793,"Fruitland, Washington"
4438,18.6,10892,"Palm Bay, Florida"
4439,18.6,4239,"Fort Pierce, Florida"
4440,18.6,8182,"Cape Girardeau, Missouri"
4441,18.6,356,"Kerens, West Virginia"
4442,18.6,192,"Hampton, Kentucky"
4443,18.6,1469,"Lena, Louisiana"
4444,18.6,6651,"Defuniak Springs, Florida"
4445,18.6,1985,"Danville, Georgia"
4446,18.6,2134,"Summersville, Missouri"
4447,18.6,2864,"Loretto, Kentucky"
4448,18.6,8436,"Montrose, Michigan"
4449,18.6,3789,"Eminence, Kentucky"
4450,18.6,4913,"Blackville, South Carolina"
4451,18.6,301,"Saint Francis, Kentucky"
4452,18.6,8218,"Vanceboro, North Carolina"
4453,18.6,2403,"Copperhill, Tennessee"
4454,18.6,2501,"Smackover, Arkansas"
4455,18.6,26634,"Lansing, Michigan"
4456,18.6,2327,"Wolverine, Michigan"
4457,18.6,10408,"Sandersville, Georgia"
4458,18.6,1699,"Sharps Chapel, Tennessee"
4459,18.6,4580,"Speedwell, Tennessee"
4460,18.6,1263,"Arabi, Georgia"
4461,18.6,5262,"Youngstown, Ohio"
4462,18.6,23574,"Radcliff, Kentucky"
4463,18.6,3888,"Worcester, Massachusetts"
4464,18.6,541,"Evangeline, Louisiana"
4465,18.6,139,"Oden, Michigan"
4466,18.6,1014,"Saratoga, Texas"
4467,18.6,2460,"Boutte, Louisiana"
4468,18.6,1619,"Annapolis, Missouri"
4469,18.6,220,"Letona, Arkansas"
4470,18.6,639,"Tibbie, Alabama"
4471,18.6,20869,"Newport, Kentucky"
4472,18.6,712,"Tupelo, Oklahoma"
4473,18.6,17981,"Cleveland, Mississippi"
4474,18.6,50384,"Stone Mountain, Georgia"
4475,18.6,5662,"Buena Vista, Georgia"
4476,18.6,10697,"Morton, Mississippi"
4477,18.6,1247,"Bertrand, Missouri"
4478,18.6,131,"Sinking Spring, Ohio"
4479,18.6,12272,"Columbus, Ohio"
4480,18.6,1068,"Woodbine, Kentucky"
4481,18.6,2014,"Pomona, Missouri"
4482,18.6,196,"Ionia, Missouri"
4483,18.6,9047,"Roanoke, Virginia"
4484,18.6,1538,"Erick, Oklahoma"
4485,18.6,354,"Alum Bridge, West Virginia"
4486,18.6,3326,"Sistersville, West Virginia"
4487,18.6,1852,"Mc Henry, Mississippi"
4488,18.6,25125,"Deridder, Louisiana"
4489,18.6,44723,"Conway, Arkansas"
4490,18.6,196,"Ionia, Missouri"
4491,18.6,10419,"Birmingham, Alabama"
4492,18.6,11886,"Jacksonville, Florida"
4493,18.6,17422,"Oklahoma City, Oklahoma"
4494,18.6,59080,"Jacksonville, Florida"
4495,18.6,58,"London, West Virginia"
4496,18.6,126,"Clarita, Oklahoma"
4497,18.6,3054,"Parris Island, South Carolina"
4498,18.6,876,"Poplar Grove, Arkansas"
4499,18.6,314,"Midland, Arkansas"
4500,18.6,331,"Cherryville, Missouri"
4501,18.6,30524,"Grand Rapids, Michigan"
4502,18.6,17151,"Tulsa, Oklahoma"
4503,18.6,105,"Mongo, Indiana"
4504,18.6,33071,"Morristown, Tennessee"
4505,18.6,11595,"Pascagoula, Mississippi"
4506,18.6,16540,"Wichita Falls, Texas"
4507,18.6,3901,"Hays, North Carolina"
4508,18.6,15133,"Clearwater, Florida"
4509,18.6,3579,"Lowell, North Carolina"
4510,18.6,283,"Schulter, Oklahoma"
4511,18.6,8925,"Ashdown, Arkansas"
4512,18.6,1147,"Musella, Georgia"
4513,18.6,24136,"Monroe, Georgia"
4514,18.6,6734,"Castlewood, Virginia"
4515,18.6,26470,"Monroe, Michigan"
4516,18.6,3708,"Healdton, Oklahoma"
4517,18.6,1715,"Rossiter, Pennsylvania"
4518,18.6,4109,"Anthony, Florida"
4519,18.6,1844,"Greenville, Missouri"
4520,18.6,1018,"Hambleton, West Virginia"
4521,18.6,9327,"Imlay City, Michigan"
4522,18.6,53311,"Blacksburg, Virginia"
4523,18.6,18345,"Semmes, Alabama"
4524,18.6,2852,"Kenton, Tennessee"
4525,18.6,3941,"Lansford, Pennsylvania"
4526,18.6,39102,"Bristol, Tennessee"
4527,18.6,6776,"Licking, Missouri"
4528,18.6,4190,"Decatur, Mississippi"
4529,18.6,311,"Disney, Oklahoma"
4530,18.6,9236,"Blanchester, Ohio"
4531,18.6,9962,"Dunbar, West Virginia"
4532,18.6,15239,"Dayton, Ohio"
4533,18.6,2089,"Huron, Tennessee"
4534,18.6,1118,"Baker, West Virginia"
4535,18.6,4677,"Brundidge, Alabama"
4536,18.6,198,"Marty, South Dakota"
4537,18.6,4652,"Riceville, Tennessee"
4538,18.6,4397,"South Fulton, Tennessee"
4539,18.6,487,"Supai, Arizona"
4540,18.6,35361,"Pineville, Louisiana"
4541,18.6,18126,"Miami, Oklahoma"
4542,18.6,2770,"Dallas, Texas"
4543,18.6,3877,"Oakridge, Oregon"
4544,18.6,7016,"Gwinn, Michigan"
4545,18.6,3435,"San Diego, California"
4546,18.6,42479,"Hopkinsville, Kentucky"
4547,18.6,1308,"Tacoma, Washington"
4548,18.6,11569,"Newport, Michigan"
4549,18.6,88,"Spade, Texas"
4550,18.6,2333,"Delcambre, Louisiana"
4551,18.6,129,"Antoine, Arkansas"
4552,18.6,4990,"Allendale, South Carolina"
4553,18.6,10089,"Commerce, Texas"
4554,18.6,8958,"Vinemont, Alabama"
4555,18.6,303,"Bowden, West Virginia"
4556,18.6,202,"Ulm, Arkansas"
4557,18.6,80,"Pilot Point, Alaska"
4558,18.6,33201,"Auburn, Alabama"
4559,18.6,314,"Dickerson Run, Pennsylvania"
4560,18.6,281,"Ellenton, Georgia"
4561,18.6,20979,"Walker, Louisiana"
4562,18.6,953,"Summersville, Kentucky"
4563,18.6,2622,"Paisley, Florida"
4564,18.6,18450,"Dallas, Texas"
4565,18.6,2330,"Gordonsville, Tennessee"
4566,18.6,29809,"Huntsville, Texas"
4567,18.6,8868,"Elkmont, Alabama"
4568,18.6,2419,"Wickliffe, Kentucky"
4569,18.6,59605,"Newark, Ohio"
4570,18.6,385,"Richmond Dale, Ohio"
4571,18.6,4546,"Elsberry, Missouri"
4572,18.6,331,"Cherryville, Missouri"
4573,18.6,26688,"Springfield, Massachusetts"
4574,18.6,972,"Wagarville, Alabama"
4575,18.6,10441,"Berryville, Arkansas"
4576,18.6,11898,"Charlotte, North Carolina"
4577,18.6,20816,"Alexander City, Alabama"
4578,18.6,111,"Thida, Arkansas"
4579,18.6,66266,"Los Angeles, California"
4580,18.6,10374,"Wiggins, Mississippi"
4581,18.5,6025,"Fort Pierce, Florida"
4582,18.5,1380,"Vossburg, Mississippi"
4583,18.5,6900,"West Point, Georgia"
4584,18.5,12887,"Hartford, Connecticut"
4585,18.5,11950,"Ripley, Mississippi"
4586,18.5,1485,"Luke Air Force Base, Arizona"
4587,18.5,5263,"Walnut Grove, Mississippi"
4588,18.5,11427,"Anniston, Alabama"
4589,18.5,7153,"Flemingsburg, Kentucky"
4590,18.5,2351,"Osyka, Mississippi"
4591,18.5,989,"Athens, Louisiana"
